scientificname,group,basetree
Aparasphenodon venezolanus,Amphibians,amphibiantree
Aphantophryne minuta,Amphibians,amphibiantree
Aphantophryne pansa,Amphibians,amphibiantree
Aphantophryne sabini,Amphibians,amphibiantree
Aplastodiscus albofrenatus,Amphibians,amphibiantree
Aplastodiscus albosignatus,Amphibians,amphibiantree
Aplastodiscus arildae,Amphibians,amphibiantree
Aplastodiscus callipygius,Amphibians,amphibiantree
Aplastodiscus cavicola,Amphibians,amphibiantree
Aplastodiscus cochranae,Amphibians,amphibiantree
Aplastodiscus ehrhardti,Amphibians,amphibiantree
Aplastodiscus eugenioi,Amphibians,amphibiantree
Aplastodiscus flumineus,Amphibians,amphibiantree
Aplastodiscus ibirapitanga,Amphibians,amphibiantree
Aplastodiscus leucopygius,Amphibians,amphibiantree
Aplastodiscus musicus,Amphibians,amphibiantree
Aplastodiscus perviridis,Amphibians,amphibiantree
Aplastodiscus sibilatus,Amphibians,amphibiantree
Aplastodiscus weygoldti,Amphibians,amphibiantree
Arcovomer passarellii,Amphibians,amphibiantree
Arenophryne rotunda,Amphibians,amphibiantree
Arenophryne xiphorhyncha,Amphibians,amphibiantree
Argenteohyla siemersi,Amphibians,amphibiantree
Arlequinus krebsi,Amphibians,amphibiantree
Aromobates alboguttatus,Amphibians,amphibiantree
Aromobates cannatellai,Amphibians,amphibiantree
Aromobates capurinensis,Amphibians,amphibiantree
Aromobates duranti,Amphibians,amphibiantree
Aromobates ericksonae,Amphibians,amphibiantree
Aromobates haydeeae,Amphibians,amphibiantree
Aromobates inflexus,Amphibians,amphibiantree
Aromobates leopardalis,Amphibians,amphibiantree
Aromobates mayorgai,Amphibians,amphibiantree
Aromobates meridensis,Amphibians,amphibiantree
Aromobates molinarii,Amphibians,amphibiantree
Aromobates nocturnus,Amphibians,amphibiantree
Aromobates ornatissimus,Amphibians,amphibiantree
Aromobates orostoma,Amphibians,amphibiantree
Aromobates saltuensis,Amphibians,amphibiantree
Aromobates serranus,Amphibians,amphibiantree
Aromobates tokuko,Amphibians,amphibiantree
Aromobates walterarpi,Amphibians,amphibiantree
Aromobates zippeli,Amphibians,amphibiantree
Arthroleptella bicolor,Amphibians,amphibiantree
Arthroleptella drewesii,Amphibians,amphibiantree
Arthroleptella landdrosia,Amphibians,amphibiantree
Arthroleptella lightfooti,Amphibians,amphibiantree
Arthroleptella rugosa,Amphibians,amphibiantree
Arthroleptella subvoce,Amphibians,amphibiantree
Arthroleptella villiersi,Amphibians,amphibiantree
Arthroleptides martiensseni,Amphibians,amphibiantree
Arthroleptides yakusini,Amphibians,amphibiantree
Arthroleptis adelphus,Amphibians,amphibiantree
Arthroleptis adolfifriederici,Amphibians,amphibiantree
Arthroleptis affinis,Amphibians,amphibiantree
Arthroleptis anotis,Amphibians,amphibiantree
Arthroleptis aureoli,Amphibians,amphibiantree
Arthroleptis bioko,Amphibians,amphibiantree
Arthroleptis bivittatus,Amphibians,amphibiantree
Arthroleptis brevipes,Amphibians,amphibiantree
Arthroleptis carquejai,Amphibians,amphibiantree
Arthroleptis crusculum,Amphibians,amphibiantree
Arthroleptis discodactylus,Amphibians,amphibiantree
Arthroleptis fichika,Amphibians,amphibiantree
Arthroleptis formosus,Amphibians,amphibiantree
Arthroleptis francei,Amphibians,amphibiantree
Arthroleptis hematogaster,Amphibians,amphibiantree
Arthroleptis kidogo,Amphibians,amphibiantree
Arthroleptis krokosua,Amphibians,amphibiantree
Arthroleptis kutogundua,Amphibians,amphibiantree
Arthroleptis lameerei,Amphibians,amphibiantree
Arthroleptis langeri,Amphibians,amphibiantree
Arthroleptis lonnbergi,Amphibians,amphibiantree
Arthroleptis loveridgei,Amphibians,amphibiantree
Arthroleptis mossoensis,Amphibians,amphibiantree
Arthroleptis nguruensis,Amphibians,amphibiantree
Arthroleptis nikeae,Amphibians,amphibiantree
Arthroleptis nimbaensis,Amphibians,amphibiantree
Arthroleptis nlonakoensis,Amphibians,amphibiantree
Arthroleptis palava,Amphibians,amphibiantree
Arthroleptis perreti,Amphibians,amphibiantree
Arthroleptis phrynoides,Amphibians,amphibiantree
Arthroleptis poecilonotus,Amphibians,amphibiantree
Arthroleptis pyrrhoscelis,Amphibians,amphibiantree
Arthroleptis reichei,Amphibians,amphibiantree
Arthroleptis schubotzi,Amphibians,amphibiantree
Arthroleptis spinalis,Amphibians,amphibiantree
Arthroleptis stenodactylus,Amphibians,amphibiantree
Arthroleptis stridens,Amphibians,amphibiantree
Arthroleptis sylvaticus,Amphibians,amphibiantree
Arthroleptis taeniatus,Amphibians,amphibiantree
Arthroleptis tanneri,Amphibians,amphibiantree
Arthroleptis troglodytes,Amphibians,amphibiantree
Arthroleptis tuberosus,Amphibians,amphibiantree
Arthroleptis variabilis,Amphibians,amphibiantree
Arthroleptis vercammeni,Amphibians,amphibiantree
Arthroleptis wahlbergii,Amphibians,amphibiantree
Arthroleptis xenochirus,Amphibians,amphibiantree
Arthroleptis xenodactyloides,Amphibians,amphibiantree
Arthroleptis xenodactylus,Amphibians,amphibiantree
Arthroleptis zimmeri,Amphibians,amphibiantree
Ascaphus montanus,Amphibians,amphibiantree
